SMEL5_01g000100.1	SMEL4.1_01g002420.1.01	99.906	1065	1	0	236	1300	1	1065	0.0	1962
SMEL5_01g000160.1	SMEL4.1_01g002930.1.01	100.000	1338	0	0	108	1445	1	1338	0.0	2471
SMEL5_01g000220.1	SMEL4.1_01g002860.1.01	100.000	2679	0	0	185	2863	1	2679	0.0	4948
SMEL5_01g000280.1	SMEL4.1_01g002810.1.01	100.000	2523	0	0	401	2923	1	2523	0.0	4660
SMEL5_01g000340.1	SMEL4.1_01g002770.1.01	99.939	1645	0	1	55	1698	519	2163	0.0	3031
SMEL5_01g000340.1	SMEL4.1_01g002760.1.01	85.778	1568	195	13	133	1698	25	1566	0.0	1635
SMEL5_01g000340.1	SMEL4.1_01g002750.1.01	87.212	1173	129	14	529	1698	349	1503	0.0	1315
SMEL5_01g000400.1	SMEL4.1_01g002740.1.01	98.720	1484	0	2	610	2093	354	1818	0.0	2617
SMEL5_01g000460.1	SMEL4.1_01g002680.1.01	100.000	2052	0	0	90	2141	1	2052	0.0	3790
SMEL5_01g000520.1	SMEL4.1_01g002620.1.01	100.000	2001	0	0	1128	3128	1969	3969	0.0	3696
SMEL5_01g000580.1	SMEL4.1_01g002560.1.01	100.000	679	0	0	234	912	1	679	0.0	1254
SMEL5_01g000640.1	SMEL4.1_01g002500.1.01	100.000	1389	0	0	265	1653	1	1389	0.0	2566
SMEL5_01g000640.1	SMEL4.1_12g003140.1.01	87.719	570	70	0	1084	1653	775	1344	0.0	665
SMEL5_01g000700.1	SMEL4.1_01g003370.1.01	100.000	399	0	0	45	443	1	399	0.0	737
SMEL5_01g000760.1	SMEL4.1_00g006830.1.01	100.000	865	0	0	165	1029	1	865	0.0	1598
SMEL5_01g000760.1	SMEL4.1_01g003310.1.01	100.000	555	0	0	1077	1631	1	555	0.0	1026
SMEL5_01g000760.1	SMEL4.1_12g003180.1.01	86.873	518	47	8	222	718	124	641	1.32e-158	560
SMEL5_01g000820.1	SMEL4.1_01g003250.1.01	98.416	1515	0	1	174	1664	1	1515	0.0	2643
SMEL5_01g000820.1	SMEL4.1_01g003240.1.01	79.942	1032	201	6	527	1555	354	1382	0.0	754
SMEL5_01g000880.1	SMEL4.1_01g003190.1.01	100.000	574	0	0	1	574	33	606	0.0	1061
SMEL5_01g000940.1	SMEL4.1_01g003130.1.01	100.000	788	0	0	309	1096	1	788	0.0	1456
SMEL5_01g001000.1	SMEL4.1_01g003080.1.01	99.527	5706	0	1	443	6121	1	5706	0.0	10362
SMEL5_01g001000.1	SMEL4.1_12g003210.1.01	80.236	3638	654	41	2506	6121	1884	5478	0.0	2675
